xvar,est,lb,hb,group
-3.3,0.9014502172262971,0.8905835582011694,0.9124108381868705,GDP3
-3.25,0.9018520237697026,0.8910396155701367,0.9127573903518056,GDP3
-3.2,0.9022543817625795,0.8914965332172807,0.9131041858505905,GDP3
-3.15,0.9026572997341148,0.8919543163787903,0.913451236643527,GDP3
-3.1,0.9030607862241643,0.8924129702047809,0.9137985547989168,GDP3
-3.05,0.903464849783284,0.8928724997612844,0.9141461524910265,GDP3
-3.0,0.9038694989727548,0.8933329100322172,0.9144940419980843,GDP3
-2.95,0.9042747423646097,0.8937942059213051,0.9148422357003081,GDP3
-2.9,0.9046805885416609,0.8942563922539934,0.9151907460779634,GDP3
-2.85,0.9050870460975291,0.8947194737793227,0.9155395857094505,GDP3
-2.8,0.9054941236366714,0.8951834551717791,0.9158887672694269,GDP3
-2.75,0.9059018297744096,0.8956483410331174,0.9162383035269491,GDP3
-2.7,0.9063101731369617,0.8961141358941658,0.9165882073436443,GDP3
-2.65,0.9067191623614697,0.8965808442165991,0.9169384916719125,GDP3
-2.6,0.9071288060960317,0.8970484703946902,0.9172891695531504,GDP3
-2.55,0.9075391129997334,0.8975170187570471,0.9176402541159995,GDP3
-2.5,0.9079500917426762,0.8979864935683157,0.9179917585746177,GDP3
-2.45,0.9083617510060135,0.8984568990308748,0.9183436962269785,GDP3
-2.4,0.9087740994819814,0.8989282392865057,0.9186960804531835,GDP3
-2.35,0.9091871458739301,0.8994005184180384,0.9190489247138034,GDP3
-2.3,0.9096008988963602,0.8998737404509943,0.9194022425482357,GDP3
-2.25,0.9100153672749544,0.9003479093551959,0.9197560475730823,GDP3
-2.2,0.9104305597466135,0.9008230290463732,0.9201103534805438,GDP3
-2.15,0.9108464850594891,0.9012991033877477,0.9204651740368316,GDP3
-2.1,0.911263151973021,0.9017761361916081,0.9208205230805977,GDP3
-2.05,0.9116805692579731,0.9022541312208671,0.9211764145213808,GDP3
-2.0,0.9120987456964699,0.9027330921906115,0.9215328623380605,GDP3
-1.95,0.9125176900820291,0.90321302276964,0.9218898805773317,GDP3
-1.9,0.9129374112196054,0.9036939265819867,0.922247483352189,GDP3
-1.85,0.9133579179256246,0.9041758072084445,0.922605684840422,GDP3
-1.8,0.913779219028021,0.9046586681880695,0.9229644992831205,GDP3
-1.75,0.91420132336628,0.9051425130196867,0.9233239409831933,GDP3
-1.7,0.9146242397914718,0.9056273451633884,0.9236840243038877,GDP3
-1.65,0.9150479771662967,0.9061131680420216,0.9240447636673234,GDP3
-1.6,0.9154725443651217,0.9065999850426805,0.9244061735530308,GDP3
-1.55,0.9158979502740223,0.9070877995181883,0.9247682684964919,GDP3
-1.5,0.9163242037908235,0.9075766147885823,0.9251310630876903,GDP3
-1.45,0.916751313825141,0.9080664341425949,0.9254945719696585,GDP3
-1.4,0.9171792892984238,0.9085572608391369,0.9258588098370324,GDP3
-1.35,0.9176081391439967,0.9090490981087842,0.9262237914346039,GDP3
-1.3,0.9180378723071033,0.9095419491552584,0.9265895315558744,GDP3
-1.25,0.9184684977449494,0.9100358171569249,0.9269560450416062,GDP3
-1.2,0.9189000244267463,0.9105307052682806,0.9273233467783715,GDP3
-1.15,0.9193324613337563,0.9110266166214636,0.9276914516970974,GDP3
-1.1,0.9197658174593365,0.9115235543277546,0.9280603747716085,GDP3
-1.05,0.9202001018089846,0.9120215214790988,0.9284301310171593,GDP3
-1.0,0.9206353234003872,0.9125205211496314,0.9288007354889622,GDP3
-0.949999999999999,0.9210714912634602,0.913020556397217,0.929172203280705,GDP3
-0.899999999999999,0.9215086144404007,0.9135216302649987,0.9295445495230588,GDP3
-0.849999999999998,0.9219467019857343,0.9140237457829617,0.9299177893821774,GDP3
-0.800000000000001,0.9223857629663584,0.9145269059695144,0.9302919380581781,GDP3
-0.75,0.922825806461594,0.9150311138330846,0.9306670107836172,GDP3
-0.699999999999999,0.9232668415632344,0.9155363723737296,0.9310430228219365,GDP3
-0.649999999999999,0.9237088773755915,0.916042684584772,0.9314199894659106,GDP3
-0.599999999999998,0.9241519230155479,0.9165500534544512,0.9317979260360608,GDP3
-0.550000000000001,0.9245959876126058,0.9170584819675988,0.9321768478790552,GDP3
-0.5,0.9250410803089385,0.917567973107341,0.9325567703660907,GDP3
-0.449999999999999,0.92548721025944,0.9180785298568179,0.9329377088912452,GDP3
-0.399999999999999,0.925934386631776,0.9185901552009361,0.9333196788698096,GDP3
-0.349999999999998,0.9263826186064377,0.9191028521281521,0.9337026957365943,GDP3
-0.300000000000001,0.9268319153767921,0.9196166236322761,0.9340867749442046,GDP3
-0.25,0.9272822861491365,0.9201314727143182,0.9344719319612926,GDP3
-0.199999999999999,0.92773374014275,0.9206474023843585,0.9348581822707683,GDP3
-0.149999999999999,0.9281862865899477,0.9211644156634605,0.9352455413679902,GDP3
-0.0999999999999979,0.928639934736136,0.9216825155856153,0.9356340247589106,GDP3
-0.0500000000000007,0.9290946938398658,0.9222017051997305,0.9360236479581898,GDP3
0.0,0.9295505731728864,0.9227219875716492,0.9364144264872737,GDP3
0.0500000000000007,0.9300075820202045,0.9232433657862269,0.9368063758724258,GDP3
0.100000000000001,0.9304657296801361,0.9237658429494365,0.9371995116427217,GDP3
0.150000000000002,0.930925025464365,0.9242894221905308,0.9375938493280005,GDP3
0.199999999999999,0.9313854786980004,0.924814106664248,0.9379894044567628,GDP3
0.25,0.9318470987196311,0.9253398995530687,0.938386192554034,GDP3
0.300000000000001,0.932309894881387,0.9258668040695256,0.938784229139163,GDP3
0.350000000000001,0.9327738765489928,0.9263948234585655,0.939183529723582,GDP3
0.400000000000002,0.933239053101831,0.9269239609999684,0.9395841098085039,GDP3
0.449999999999999,0.9337054339329973,0.9274542200108244,0.9399859848825675,GDP3
0.5,0.9341730284493618,0.9279856038480719,0.9403891704194233,GDP3
0.550000000000001,0.9346418460716294,0.9285181159110989,0.940793681875264,GDP3
0.600000000000001,0.9351118962343983,0.9290517596444047,0.9411995346862811,GDP3
0.650000000000002,0.9355831883862218,0.9295865385403315,0.941606744266074,GDP3
0.699999999999999,0.9360557319896694,0.9301224561418651,0.9420153260029767,GDP3
0.75,0.9365295365213875,0.9306595160455047,0.9424252952573261,GDP3
0.800000000000001,0.937004611472163,0.9311977219042051,0.9428366673586563,GDP3
